Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009507 seconds
Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009676 seconds
Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009568 seconds
Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009383 seconds
Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009358 seconds
Winner: AI (Black), Black AI: Minimax AI, White AI: Alpha-Beta AI, Time Taken: 0.009729 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000459 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000462 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000453 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000455 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000455 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000627 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.00048 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000454 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000458 seconds
Winner: Player (White), Black AI: Minimax AI, White AI: Negascout AI, Time Taken: 0.000478 seconds
# Alpha Beta # 
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.009482 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 9.7e-05 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.002651 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.00078 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.000875 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.001063 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.004037 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.005508 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.001504 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Random AI, Time Taken: 0.006367 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006373 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.00635 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.017252 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.0062 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006305 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006335 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006338 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006252 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006267 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Minimax AI, Time Taken: 0.006214 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005991 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005973 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.006083 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.00628 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.005916 seconds
Winner: AI (Black), Black AI: Alpha-Beta AI, White AI: Alpha-Beta AI, Time Taken: 0.006351 seconds
